date,address,active_apartments
2023-07-01,ГП-3,9
2023-07-01,ГП-4,26
2023-07-01,ГП-5,301
2023-07-01,ГП-6,20
2023-07-01,ГП-7,332
2023-07-02,ГП-3,9
2023-07-02,ГП-4,26
2023-07-02,ГП-5,301
2023-07-02,ГП-6,20
2023-07-02,ГП-7,332
2023-07-03,ГП-3,9
2023-07-03,ГП-4,26
2023-07-03,ГП-5,301
2023-07-03,ГП-6,20
2023-07-03,ГП-7,332
2023-07-04,ГП-3,9
2023-07-04,ГП-4,26
2023-07-04,ГП-5,301
2023-07-04,ГП-6,20
2023-07-04,ГП-7,331
2023-07-05,ГП-3,8
2023-07-05,ГП-4,25
2023-07-05,ГП-5,301
2023-07-05,ГП-6,20
2023-07-05,ГП-7,311
2023-07-06,ГП-3,8
2023-07-06,ГП-4,25
2023-07-06,ГП-5,301
2023-07-06,ГП-6,20
2023-07-06,ГП-7,311
2023-07-07,ГП-3,8
2023-07-07,ГП-4,25
2023-07-07,ГП-5,301
2023-07-07,ГП-6,20
2023-07-07,ГП-7,311
2023-07-08,ГП-3,8
2023-07-08,ГП-4,25
2023-07-08,ГП-5,301
2023-07-08,ГП-6,20
2023-07-08,ГП-7,311
2023-07-09,ГП-3,8
2023-07-09,ГП-4,25
2023-07-09,ГП-5,301
2023-07-09,ГП-6,20
2023-07-09,ГП-7,311
2023-07-10,ГП-3,8
2023-07-10,ГП-4,25
2023-07-10,ГП-5,301
2023-07-10,ГП-6,20
2023-07-10,ГП-7,311
2023-07-11,ГП-3,8
2023-07-11,ГП-4,25
2023-07-11,ГП-5,301
2023-07-11,ГП-6,20
2023-07-11,ГП-7,311
2023-07-12,ГП-3,8
2023-07-12,ГП-4,25
2023-07-12,ГП-5,301
2023-07-12,ГП-6,20
2023-07-12,ГП-7,311
2023-07-13,ГП-3,8
2023-07-13,ГП-4,25
2023-07-13,ГП-5,301
2023-07-13,ГП-6,20
2023-07-13,ГП-7,311
2023-07-14,ГП-3,8
2023-07-14,ГП-4,25
2023-07-14,ГП-5,301
2023-07-14,ГП-6,20
2023-07-14,ГП-7,311
2023-07-15,ГП-3,8
2023-07-15,ГП-4,25
2023-07-15,ГП-5,301
2023-07-15,ГП-6,20
2023-07-15,ГП-7,311
2023-07-16,ГП-3,8
2023-07-16,ГП-4,25
2023-07-16,ГП-5,301
2023-07-16,ГП-6,20
2023-07-16,ГП-7,311
2023-07-17,ГП-3,8
2023-07-17,ГП-4,25
2023-07-17,ГП-5,301
2023-07-17,ГП-6,20
2023-07-17,ГП-7,311
2023-07-18,ГП-3,7
2023-07-18,ГП-4,25
2023-07-18,ГП-5,301
2023-07-18,ГП-6,20
2023-07-18,ГП-7,310
2023-07-19,ГП-3,6
2023-07-19,ГП-4,25
2023-07-19,ГП-5,301
2023-07-19,ГП-6,20
2023-07-19,ГП-7,310
2023-07-20,ГП-3,6
2023-07-20,ГП-4,25
2023-07-20,ГП-5,301
2023-07-20,ГП-6,20
2023-07-20,ГП-7,307
2023-07-21,ГП-3,6
2023-07-21,ГП-4,25
2023-07-21,ГП-5,301
2023-07-21,ГП-6,20
2023-07-21,ГП-7,307
2023-07-22,ГП-3,6
2023-07-22,ГП-4,25
2023-07-22,ГП-5,301
2023-07-22,ГП-6,20
2023-07-22,ГП-7,297
2023-07-23,ГП-3,6
2023-07-23,ГП-4,25
2023-07-23,ГП-5,301
2023-07-23,ГП-6,20
2023-07-23,ГП-7,297
2023-07-24,ГП-3,6
2023-07-24,ГП-4,25
2023-07-24,ГП-5,301
2023-07-24,ГП-6,20
2023-07-24,ГП-7,297
2023-07-25,ГП-3,6
2023-07-25,ГП-4,25
2023-07-25,ГП-5,301
2023-07-25,ГП-6,20
2023-07-25,ГП-7,297
2023-07-26,ГП-3,5
2023-07-26,ГП-4,24
2023-07-26,ГП-5,301
2023-07-26,ГП-6,20
2023-07-26,ГП-7,297
2023-07-27,ГП-3,5
2023-07-27,ГП-4,24
2023-07-27,ГП-5,301
2023-07-27,ГП-6,20
2023-07-27,ГП-7,297
2023-07-28,ГП-3,5
2023-07-28,ГП-4,23
2023-07-28,ГП-5,301
2023-07-28,ГП-6,20
2023-07-28,ГП-7,295
2023-07-29,ГП-3,5
2023-07-29,ГП-4,23
2023-07-29,ГП-5,301
2023-07-29,ГП-6,20
2023-07-29,ГП-7,292
2023-07-30,ГП-3,5
2023-07-30,ГП-4,23
2023-07-30,ГП-5,301
2023-07-30,ГП-6,20
2023-07-30,ГП-7,292
2023-07-31,ГП-3,5
2023-07-31,ГП-4,23
2023-07-31,ГП-5,301
2023-07-31,ГП-6,20
2023-07-31,ГП-7,292
2023-08-01,ГП-3,5
2023-08-01,ГП-4,23
2023-08-01,ГП-5,301
2023-08-01,ГП-6,20
2023-08-01,ГП-7,292
2023-08-02,ГП-3,5
2023-08-02,ГП-4,22
2023-08-02,ГП-5,301
2023-08-02,ГП-6,20
2023-08-02,ГП-7,288
2023-08-03,ГП-3,5
2023-08-03,ГП-4,22
2023-08-03,ГП-5,301
2023-08-03,ГП-6,20
2023-08-03,ГП-7,286
2023-08-04,ГП-3,5
2023-08-04,ГП-4,22
2023-08-04,ГП-5,301
2023-08-04,ГП-6,20
2023-08-04,ГП-7,285
2023-08-05,ГП-3,5
2023-08-05,ГП-4,22
2023-08-05,ГП-5,301
2023-08-05,ГП-6,20
2023-08-05,ГП-7,284
2023-08-06,ГП-3,5
2023-08-06,ГП-4,22
2023-08-06,ГП-5,301
2023-08-06,ГП-6,20
2023-08-06,ГП-7,281
2023-08-07,ГП-3,5
2023-08-07,ГП-4,22
2023-08-07,ГП-5,301
2023-08-07,ГП-6,20
2023-08-07,ГП-7,281
2023-08-08,ГП-3,4
2023-08-08,ГП-4,22
2023-08-08,ГП-5,301
2023-08-08,ГП-6,20
2023-08-08,ГП-7,279
2023-08-09,ГП-3,4
2023-08-09,ГП-4,22
2023-08-09,ГП-5,301
2023-08-09,ГП-6,20
2023-08-09,ГП-7,276
2023-08-10,ГП-3,4
2023-08-10,ГП-4,22
2023-08-10,ГП-5,301
2023-08-10,ГП-6,20
2023-08-10,ГП-7,276
2023-08-11,ГП-3,4
2023-08-11,ГП-4,21
2023-08-11,ГП-5,301
2023-08-11,ГП-6,20
2023-08-11,ГП-7,275
2023-08-12,ГП-3,4
2023-08-12,ГП-4,20
2023-08-12,ГП-5,301
2023-08-12,ГП-6,20
2023-08-12,ГП-7,275
2023-08-13,ГП-3,4
2023-08-13,ГП-4,20
2023-08-13,ГП-5,301
2023-08-13,ГП-6,20
2023-08-13,ГП-7,275
2023-08-14,ГП-3,4
2023-08-14,ГП-4,20
2023-08-14,ГП-5,301
2023-08-14,ГП-6,20
2023-08-14,ГП-7,275
2023-08-15,ГП-3,3
2023-08-15,ГП-4,20
2023-08-15,ГП-5,301
2023-08-15,ГП-6,20
2023-08-15,ГП-7,273
2023-08-16,ГП-3,3
2023-08-16,ГП-4,19
2023-08-16,ГП-5,301
2023-08-16,ГП-6,20
2023-08-16,ГП-7,271
2023-08-17,ГП-3,0
2023-08-17,ГП-4,19
2023-08-17,ГП-5,301
2023-08-17,ГП-6,20
2023-08-17,ГП-7,262
2023-08-18,ГП-3,0
2023-08-18,ГП-4,18
2023-08-18,ГП-5,301
2023-08-18,ГП-6,20
2023-08-18,ГП-7,262
2023-08-19,ГП-3,0
2023-08-19,ГП-4,17
2023-08-19,ГП-5,301
2023-08-19,ГП-6,20
2023-08-19,ГП-7,262
2023-08-20,ГП-3,0
2023-08-20,ГП-4,17
2023-08-20,ГП-5,301
2023-08-20,ГП-6,20
2023-08-20,ГП-7,262
2023-08-21,ГП-3,0
2023-08-21,ГП-4,17
2023-08-21,ГП-5,301
2023-08-21,ГП-6,20
2023-08-21,ГП-7,262
2023-08-22,ГП-3,0
2023-08-22,ГП-4,16
2023-08-22,ГП-5,301
2023-08-22,ГП-6,20
2023-08-22,ГП-7,262
2023-08-23,ГП-3,0
2023-08-23,ГП-4,16
2023-08-23,ГП-5,301
2023-08-23,ГП-6,20
2023-08-23,ГП-7,254
2023-08-24,ГП-3,0
2023-08-24,ГП-4,15
2023-08-24,ГП-5,301
2023-08-24,ГП-6,20
2023-08-24,ГП-7,254
2023-08-25,ГП-3,0
2023-08-25,ГП-4,15
2023-08-25,ГП-5,301
2023-08-25,ГП-6,20
2023-08-25,ГП-7,254
2023-08-26,ГП-3,0
2023-08-26,ГП-4,15
2023-08-26,ГП-5,301
2023-08-26,ГП-6,20
2023-08-26,ГП-7,249
2023-08-27,ГП-3,0
2023-08-27,ГП-4,15
2023-08-27,ГП-5,301
2023-08-27,ГП-6,20
2023-08-27,ГП-7,249
2023-08-28,ГП-3,0
2023-08-28,ГП-4,15
2023-08-28,ГП-5,301
2023-08-28,ГП-6,20
2023-08-28,ГП-7,249
2023-08-29,ГП-3,0
2023-08-29,ГП-4,15
2023-08-29,ГП-5,301
2023-08-29,ГП-6,20
2023-08-29,ГП-7,234
2023-08-30,ГП-3,0
2023-08-30,ГП-4,14
2023-08-30,ГП-5,280
2023-08-30,ГП-6,20
2023-08-30,ГП-7,230
2023-08-31,ГП-3,0
2023-08-31,ГП-4,14
2023-08-31,ГП-5,278
2023-08-31,ГП-6,20
2023-08-31,ГП-7,230
2023-09-01,ГП-3,0
2023-09-01,ГП-4,14
2023-09-01,ГП-5,277
2023-09-01,ГП-6,20
2023-09-01,ГП-7,228
2023-09-02,ГП-3,0
2023-09-02,ГП-4,13
2023-09-02,ГП-5,277
2023-09-02,ГП-6,20
2023-09-02,ГП-7,215
2023-09-03,ГП-3,0
2023-09-03,ГП-4,13
2023-09-03,ГП-5,277
2023-09-03,ГП-6,20
2023-09-03,ГП-7,214
2023-09-04,ГП-3,0
2023-09-04,ГП-4,13
2023-09-04,ГП-5,277
2023-09-04,ГП-6,20
2023-09-04,ГП-7,214
2023-09-05,ГП-3,0
2023-09-05,ГП-4,13
2023-09-05,ГП-5,277
2023-09-05,ГП-6,20
2023-09-05,ГП-7,214
2023-09-06,ГП-3,0
2023-09-06,ГП-4,13
2023-09-06,ГП-5,277
2023-09-06,ГП-6,20
2023-09-06,ГП-7,214
2023-09-07,ГП-3,0
2023-09-07,ГП-4,13
2023-09-07,ГП-5,277
2023-09-07,ГП-6,20
2023-09-07,ГП-7,206
2023-09-08,ГП-3,0
2023-09-08,ГП-4,13
2023-09-08,ГП-5,277
2023-09-08,ГП-6,20
2023-09-08,ГП-7,201
2023-09-09,ГП-3,0
2023-09-09,ГП-4,13
2023-09-09,ГП-5,276
2023-09-09,ГП-6,20
2023-09-09,ГП-7,201
2023-09-10,ГП-3,0
2023-09-10,ГП-4,13
2023-09-10,ГП-5,276
2023-09-10,ГП-6,20
2023-09-10,ГП-7,201
2023-09-11,ГП-3,0
2023-09-11,ГП-4,13
2023-09-11,ГП-5,276
2023-09-11,ГП-6,20
2023-09-11,ГП-7,201
2023-09-12,ГП-3,0
2023-09-12,ГП-4,13
2023-09-12,ГП-5,274
2023-09-12,ГП-6,20
2023-09-12,ГП-7,198
2023-09-13,ГП-3,0
2023-09-13,ГП-4,13
2023-09-13,ГП-5,274
2023-09-13,ГП-6,20
2023-09-13,ГП-7,196
2023-09-14,ГП-3,0
2023-09-14,ГП-4,13
2023-09-14,ГП-5,274
2023-09-14,ГП-6,20
2023-09-14,ГП-7,196
2023-09-15,ГП-3,0
2023-09-15,ГП-4,13
2023-09-15,ГП-5,273
2023-09-15,ГП-6,20
2023-09-15,ГП-7,195
2023-09-16,ГП-3,0
2023-09-16,ГП-4,13
2023-09-16,ГП-5,273
2023-09-16,ГП-6,20
2023-09-16,ГП-7,190
2023-09-17,ГП-3,0
2023-09-17,ГП-4,13
2023-09-17,ГП-5,273
2023-09-17,ГП-6,20
2023-09-17,ГП-7,190
2023-09-18,ГП-3,0
2023-09-18,ГП-4,13
2023-09-18,ГП-5,273
2023-09-18,ГП-6,20
2023-09-18,ГП-7,190
2023-09-19,ГП-3,0
2023-09-19,ГП-4,12
2023-09-19,ГП-5,271
2023-09-19,ГП-6,20
2023-09-19,ГП-7,190
2023-09-20,ГП-3,0
2023-09-20,ГП-4,12
2023-09-20,ГП-5,271
2023-09-20,ГП-6,20
2023-09-20,ГП-7,190
2023-09-21,ГП-3,0
2023-09-21,ГП-4,12
2023-09-21,ГП-5,271
2023-09-21,ГП-6,20
2023-09-21,ГП-7,190
2023-09-22,ГП-3,0
2023-09-22,ГП-4,11
2023-09-22,ГП-5,270
2023-09-22,ГП-6,20
2023-09-22,ГП-7,189
2023-09-23,ГП-3,0
2023-09-23,ГП-4,10
2023-09-23,ГП-5,270
2023-09-23,ГП-6,20
2023-09-23,ГП-7,186
2023-09-24,ГП-3,0
2023-09-24,ГП-4,10
2023-09-24,ГП-5,270
2023-09-24,ГП-6,20
2023-09-24,ГП-7,186
2023-09-25,ГП-3,0
2023-09-25,ГП-4,10
2023-09-25,ГП-5,270
2023-09-25,ГП-6,20
2023-09-25,ГП-7,186
2023-09-26,ГП-3,0
2023-09-26,ГП-4,10
2023-09-26,ГП-5,269
2023-09-26,ГП-6,20
2023-09-26,ГП-7,184
2023-09-27,ГП-3,0
2023-09-27,ГП-4,10
2023-09-27,ГП-5,264
2023-09-27,ГП-6,20
2023-09-27,ГП-7,183
2023-09-28,ГП-3,0
2023-09-28,ГП-4,10
2023-09-28,ГП-5,259
2023-09-28,ГП-6,20
2023-09-28,ГП-7,183
2023-09-29,ГП-3,0
2023-09-29,ГП-4,9
2023-09-29,ГП-5,258
2023-09-29,ГП-6,20
2023-09-29,ГП-7,182
2023-09-30,ГП-3,0
2023-09-30,ГП-4,9
2023-09-30,ГП-5,256
2023-09-30,ГП-6,20
2023-09-30,ГП-7,182
2023-10-01,ГП-3,0
2023-10-01,ГП-4,9
2023-10-01,ГП-5,256
2023-10-01,ГП-6,20
2023-10-01,ГП-7,182
2023-10-02,ГП-3,0
2023-10-02,ГП-4,9
2023-10-02,ГП-5,256
2023-10-02,ГП-6,20
2023-10-02,ГП-7,182
2023-10-03,ГП-3,0
2023-10-03,ГП-4,9
2023-10-03,ГП-5,256
2023-10-03,ГП-6,20
2023-10-03,ГП-7,181
2023-10-04,ГП-3,0
2023-10-04,ГП-4,9
2023-10-04,ГП-5,248
2023-10-04,ГП-6,20
2023-10-04,ГП-7,174
2023-10-05,ГП-3,0
2023-10-05,ГП-4,9
2023-10-05,ГП-5,243
2023-10-05,ГП-6,20
2023-10-05,ГП-7,171
2023-10-06,ГП-3,0
2023-10-06,ГП-4,9
2023-10-06,ГП-5,243
2023-10-06,ГП-6,20
2023-10-06,ГП-7,170
2023-10-07,ГП-3,0
2023-10-07,ГП-4,9
2023-10-07,ГП-5,240
2023-10-07,ГП-6,20
2023-10-07,ГП-7,169
2023-10-08,ГП-3,0
2023-10-08,ГП-4,9
2023-10-08,ГП-5,240
2023-10-08,ГП-6,20
2023-10-08,ГП-7,169
2023-10-09,ГП-3,0
2023-10-09,ГП-4,9
2023-10-09,ГП-5,240
2023-10-09,ГП-6,20
2023-10-09,ГП-7,169
2023-10-10,ГП-3,0
2023-10-10,ГП-4,9
2023-10-10,ГП-5,240
2023-10-10,ГП-6,20
2023-10-10,ГП-7,168
2023-10-11,ГП-3,0
2023-10-11,ГП-4,9
2023-10-11,ГП-5,240
2023-10-11,ГП-6,20
2023-10-11,ГП-7,168
2023-10-12,ГП-3,0
2023-10-12,ГП-4,8
2023-10-12,ГП-5,238
2023-10-12,ГП-6,20
2023-10-12,ГП-7,164
2023-10-13,ГП-3,0
2023-10-13,ГП-4,7
2023-10-13,ГП-5,238
2023-10-13,ГП-6,20
2023-10-13,ГП-7,162
2023-10-14,ГП-3,0
2023-10-14,ГП-4,7
2023-10-14,ГП-5,237
2023-10-14,ГП-6,20
2023-10-14,ГП-7,161
2023-10-15,ГП-3,0
2023-10-15,ГП-4,7
2023-10-15,ГП-5,237
2023-10-15,ГП-6,20
2023-10-15,ГП-7,157
2023-10-16,ГП-3,0
2023-10-16,ГП-4,7
2023-10-16,ГП-5,237
2023-10-16,ГП-6,20
2023-10-16,ГП-7,157
2023-10-17,ГП-3,0
2023-10-17,ГП-4,6
2023-10-17,ГП-5,234
2023-10-17,ГП-6,20
2023-10-17,ГП-7,156
2023-10-18,ГП-3,0
2023-10-18,ГП-4,6
2023-10-18,ГП-5,232
2023-10-18,ГП-6,20
2023-10-18,ГП-7,152
2023-10-19,ГП-3,0
2023-10-19,ГП-4,6
2023-10-19,ГП-5,231
2023-10-19,ГП-6,20
2023-10-19,ГП-7,150
2023-10-20,ГП-3,0
2023-10-20,ГП-4,6
2023-10-20,ГП-5,227
2023-10-20,ГП-6,20
2023-10-20,ГП-7,149
2023-10-21,ГП-3,0
2023-10-21,ГП-4,6
2023-10-21,ГП-5,225
2023-10-21,ГП-6,20
2023-10-21,ГП-7,143
2023-10-22,ГП-3,0
2023-10-22,ГП-4,6
2023-10-22,ГП-5,225
2023-10-22,ГП-6,20
2023-10-22,ГП-7,142
2023-10-23,ГП-3,0
2023-10-23,ГП-4,6
2023-10-23,ГП-5,225
2023-10-23,ГП-6,20
2023-10-23,ГП-7,142
2023-10-24,ГП-3,0
2023-10-24,ГП-4,6
2023-10-24,ГП-5,219
2023-10-24,ГП-6,20
2023-10-24,ГП-7,142
2023-10-25,ГП-3,0
2023-10-25,ГП-4,6
2023-10-25,ГП-5,218
2023-10-25,ГП-6,20
2023-10-25,ГП-7,140
2023-10-26,ГП-3,0
2023-10-26,ГП-4,5
2023-10-26,ГП-5,215
2023-10-26,ГП-6,20
2023-10-26,ГП-7,140
2023-10-27,ГП-3,0
2023-10-27,ГП-4,5
2023-10-27,ГП-5,212
2023-10-27,ГП-6,20
2023-10-27,ГП-7,137
2023-10-28,ГП-3,0
2023-10-28,ГП-4,4
2023-10-28,ГП-5,211
2023-10-28,ГП-6,20
2023-10-28,ГП-7,137
2023-10-29,ГП-3,0
2023-10-29,ГП-4,4
2023-10-29,ГП-5,211
2023-10-29,ГП-6,20
2023-10-29,ГП-7,137
2023-10-30,ГП-3,0
2023-10-30,ГП-4,4
2023-10-30,ГП-5,211
2023-10-30,ГП-6,20
2023-10-30,ГП-7,137
2023-10-31,ГП-3,0
2023-10-31,ГП-4,4
2023-10-31,ГП-5,207
2023-10-31,ГП-6,20
2023-10-31,ГП-7,135
2023-11-01,ГП-3,0
2023-11-01,ГП-4,4
2023-11-01,ГП-5,204
2023-11-01,ГП-6,20
2023-11-01,ГП-7,123
2023-11-02,ГП-3,0
2023-11-02,ГП-4,4
2023-11-02,ГП-5,201
2023-11-02,ГП-6,20
2023-11-02,ГП-7,123
2023-11-03,ГП-3,0
2023-11-03,ГП-4,4
2023-11-03,ГП-5,201
2023-11-03,ГП-6,20
2023-11-03,ГП-7,122
2023-11-04,ГП-3,0
2023-11-04,ГП-4,3
2023-11-04,ГП-5,190
2023-11-04,ГП-6,20
2023-11-04,ГП-7,120
2023-11-05,ГП-3,0
2023-11-05,ГП-4,3
2023-11-05,ГП-5,190
2023-11-05,ГП-6,20
2023-11-05,ГП-7,120
2023-11-06,ГП-3,0
2023-11-06,ГП-4,3
2023-11-06,ГП-5,190
2023-11-06,ГП-6,20
2023-11-06,ГП-7,120
2023-11-07,ГП-3,0
2023-11-07,ГП-4,3
2023-11-07,ГП-5,190
2023-11-07,ГП-6,20
2023-11-07,ГП-7,120
2023-11-08,ГП-3,0
2023-11-08,ГП-4,2
2023-11-08,ГП-5,175
2023-11-08,ГП-6,20
2023-11-08,ГП-7,117
2023-11-09,ГП-3,0
2023-11-09,ГП-4,2
2023-11-09,ГП-5,175
2023-11-09,ГП-6,20
2023-11-09,ГП-7,117
2023-11-10,ГП-3,0
2023-11-10,ГП-4,1
2023-11-10,ГП-5,168
2023-11-10,ГП-6,20
2023-11-10,ГП-7,106
2023-11-11,ГП-3,0
2023-11-11,ГП-4,1
2023-11-11,ГП-5,168
2023-11-11,ГП-6,20
2023-11-11,ГП-7,106
2023-11-12,ГП-3,0
2023-11-12,ГП-4,1
2023-11-12,ГП-5,168
2023-11-12,ГП-6,20
2023-11-12,ГП-7,106
2023-11-13,ГП-3,0
2023-11-13,ГП-4,1
2023-11-13,ГП-5,168
2023-11-13,ГП-6,20
2023-11-13,ГП-7,106
2023-11-14,ГП-3,0
2023-11-14,ГП-4,1
2023-11-14,ГП-5,146
2023-11-14,ГП-6,20
2023-11-14,ГП-7,105
2023-11-15,ГП-3,0
2023-11-15,ГП-4,1
2023-11-15,ГП-5,144
2023-11-15,ГП-6,20
2023-11-15,ГП-7,104
2023-11-16,ГП-3,0
2023-11-16,ГП-4,1
2023-11-16,ГП-5,132
2023-11-16,ГП-6,20
2023-11-16,ГП-7,102
2023-11-17,ГП-3,0
2023-11-17,ГП-4,1
2023-11-17,ГП-5,132
2023-11-17,ГП-6,20
2023-11-17,ГП-7,101
2023-11-18,ГП-3,0
2023-11-18,ГП-4,1
2023-11-18,ГП-5,130
2023-11-18,ГП-6,20
2023-11-18,ГП-7,100
2023-11-19,ГП-3,0
2023-11-19,ГП-4,1
2023-11-19,ГП-5,124
2023-11-19,ГП-6,20
2023-11-19,ГП-7,97
2023-11-20,ГП-3,0
2023-11-20,ГП-4,1
2023-11-20,ГП-5,124
2023-11-20,ГП-6,20
2023-11-20,ГП-7,97
2023-11-21,ГП-3,0
2023-11-21,ГП-4,0
2023-11-21,ГП-5,119
2023-11-21,ГП-6,20
2023-11-21,ГП-7,95
2023-11-22,ГП-3,0
2023-11-22,ГП-4,0
2023-11-22,ГП-5,113
2023-11-22,ГП-6,20
2023-11-22,ГП-7,95
2023-11-23,ГП-3,0
2023-11-23,ГП-4,0
2023-11-23,ГП-5,102
2023-11-23,ГП-6,20
2023-11-23,ГП-7,92
2023-11-24,ГП-3,0
2023-11-24,ГП-4,0
2023-11-24,ГП-5,102
2023-11-24,ГП-6,20
2023-11-24,ГП-7,90
2023-11-25,ГП-3,0
2023-11-25,ГП-4,0
2023-11-25,ГП-5,91
2023-11-25,ГП-6,20
2023-11-25,ГП-7,86
2023-11-26,ГП-3,0
2023-11-26,ГП-4,0
2023-11-26,ГП-5,91
2023-11-26,ГП-6,20
2023-11-26,ГП-7,86
2023-11-27,ГП-3,0
2023-11-27,ГП-4,0
2023-11-27,ГП-5,91
2023-11-27,ГП-6,20
2023-11-27,ГП-7,86
2023-11-28,ГП-3,0
2023-11-28,ГП-4,0
2023-11-28,ГП-5,72
2023-11-28,ГП-6,20
2023-11-28,ГП-7,84
2023-11-29,ГП-3,0
2023-11-29,ГП-4,0
2023-11-29,ГП-5,70
2023-11-29,ГП-6,20
2023-11-29,ГП-7,84
2023-11-30,ГП-3,0
2023-11-30,ГП-4,0
2023-11-30,ГП-5,70
2023-11-30,ГП-6,20
2023-11-30,ГП-7,81
2023-12-01,ГП-3,0
2023-12-01,ГП-4,0
2023-12-01,ГП-5,62
2023-12-01,ГП-6,20
2023-12-01,ГП-7,79
2023-12-02,ГП-3,0
2023-12-02,ГП-4,0
2023-12-02,ГП-5,60
2023-12-02,ГП-6,20
2023-12-02,ГП-7,79
2023-12-03,ГП-3,0
2023-12-03,ГП-4,0
2023-12-03,ГП-5,60
2023-12-03,ГП-6,20
2023-12-03,ГП-7,79
2023-12-04,ГП-3,0
2023-12-04,ГП-4,0
2023-12-04,ГП-5,60
2023-12-04,ГП-6,20
2023-12-04,ГП-7,79
2023-12-05,ГП-3,0
2023-12-05,ГП-4,0
2023-12-05,ГП-5,56
2023-12-05,ГП-6,20
2023-12-05,ГП-7,75
2023-12-06,ГП-3,0
2023-12-06,ГП-4,0
2023-12-06,ГП-5,54
2023-12-06,ГП-6,20
2023-12-06,ГП-7,74
2023-12-07,ГП-3,0
2023-12-07,ГП-4,0
2023-12-07,ГП-5,47
2023-12-07,ГП-6,20
2023-12-07,ГП-7,67
2023-12-08,ГП-3,0
2023-12-08,ГП-4,0
2023-12-08,ГП-5,46
2023-12-08,ГП-6,20
2023-12-08,ГП-7,67
2023-12-09,ГП-3,0
2023-12-09,ГП-4,0
2023-12-09,ГП-5,42
2023-12-09,ГП-6,20
2023-12-09,ГП-7,66
2023-12-10,ГП-3,0
2023-12-10,ГП-4,0
2023-12-10,ГП-5,42
2023-12-10,ГП-6,20
2023-12-10,ГП-7,66
2023-12-11,ГП-3,0
2023-12-11,ГП-4,0
2023-12-11,ГП-5,42
2023-12-11,ГП-6,20
2023-12-11,ГП-7,66
2023-12-12,ГП-3,0
2023-12-12,ГП-4,0
2023-12-12,ГП-5,39
2023-12-12,ГП-6,20
2023-12-12,ГП-7,62
2023-12-13,ГП-3,0
2023-12-13,ГП-4,0
2023-12-13,ГП-5,38
2023-12-13,ГП-6,20
2023-12-13,ГП-7,49
2023-12-14,ГП-3,0
2023-12-14,ГП-4,0
2023-12-14,ГП-5,33
2023-12-14,ГП-6,20
2023-12-14,ГП-7,49
2023-12-15,ГП-3,0
2023-12-15,ГП-4,0
2023-12-15,ГП-5,30
2023-12-15,ГП-6,20
2023-12-15,ГП-7,45
2023-12-16,ГП-3,0
2023-12-16,ГП-4,0
2023-12-16,ГП-5,28
2023-12-16,ГП-6,20
2023-12-16,ГП-7,45
2023-12-17,ГП-3,0
2023-12-17,ГП-4,0
2023-12-17,ГП-5,28
2023-12-17,ГП-6,20
2023-12-17,ГП-7,45
2023-12-18,ГП-3,0
2023-12-18,ГП-4,0
2023-12-18,ГП-5,28
2023-12-18,ГП-6,20
2023-12-18,ГП-7,45
2023-12-19,ГП-3,0
2023-12-19,ГП-4,0
2023-12-19,ГП-5,22
2023-12-19,ГП-6,19
2023-12-19,ГП-7,39
2023-12-20,ГП-3,0
2023-12-20,ГП-4,0
2023-12-20,ГП-5,18
2023-12-20,ГП-6,12
2023-12-20,ГП-7,5
2023-12-21,ГП-3,0
2023-12-21,ГП-4,0
2023-12-21,ГП-5,18
2023-12-21,ГП-6,12
2023-12-21,ГП-7,5
2023-12-22,ГП-3,0
2023-12-22,ГП-4,0
2023-12-22,ГП-5,12
2023-12-22,ГП-6,12
2023-12-22,ГП-7,2
2023-12-23,ГП-3,0
2023-12-23,ГП-4,0
2023-12-23,ГП-5,12
2023-12-23,ГП-6,12
2023-12-23,ГП-7,2
2023-12-24,ГП-3,0
2023-12-24,ГП-4,0
2023-12-24,ГП-5,12
2023-12-24,ГП-6,12
2023-12-24,ГП-7,2
2023-12-25,ГП-3,0
2023-12-25,ГП-4,0
2023-12-25,ГП-5,12
2023-12-25,ГП-6,12
2023-12-25,ГП-7,2
2023-12-26,ГП-3,0
2023-12-26,ГП-4,0
2023-12-26,ГП-5,4
2023-12-26,ГП-6,7
2023-12-26,ГП-7,2
2023-12-27,ГП-3,0
2023-12-27,ГП-4,0
2023-12-27,ГП-5,4
2023-12-27,ГП-6,7
2023-12-27,ГП-7,2
2023-12-28,ГП-3,0
2023-12-28,ГП-4,0
2023-12-28,ГП-5,4
2023-12-28,ГП-6,6
2023-12-28,ГП-7,1
2023-12-29,ГП-3,0
2023-12-29,ГП-4,0
2023-12-29,ГП-5,1
2023-12-29,ГП-6,1
2023-12-29,ГП-7,0
2023-12-30,ГП-3,0
2023-12-30,ГП-4,0
2023-12-30,ГП-5,0
2023-12-30,ГП-6,0
2023-12-30,ГП-7,0
2023-12-31,ГП-3,0
2023-12-31,ГП-4,0
2023-12-31,ГП-5,0
2023-12-31,ГП-6,0
2023-12-31,ГП-7,0
